COMENTARIO;VALOR
La sangría era aproximadamente la mitad de un vino de copa lleno y era $12, ridícula que les parezca.;0
No te moles en venir aquí.;0
La carne estaba bastante seca, tenía la brisket en rodajas y tiraba de cerdo.;0
"El edificio en sí parece bastante limpio; el baño es bastante feo, pero no volvería a comer aquí.";0
Fue igualmente horrible.;0
Probablemente no tenga prisa por volver.;0
muy lento en los asientos, incluso con reserva.;0
No es bueno ni mucho menos.;0
La salsa de crema de anacardo era insulsa y las verduras estaban poco cocidas.;0
El rancho chipotle sumergiendo salsa era insípido, parecía delgado y regado sin calor.;0
Era un poco demasiado dulce, no lo suficientemente picante, y carecía de sabor.;0
Estaba MUY decepcionado!!;0
Este lugar es horrible y manera sobrevalorado.;0
Tal vez sea solo su comida vegetariana, pero he estado dos veces y pensé que era promedio en el mejor de los casos.;0
No estaba ocupado en absoluto y ahora sabemos por qué.;0
Las mesas al aire libre también están sucias una gran parte del tiempo y los trabajadores no siempre son amables y serviciales con el menú.;0
El ambiente aquí no se sentía como un entorno de buffet, sino más bien como un jardín interior para té y galletas.;0
Con: servicio irregular.;0
Las papas fritas no estaban calientes, y tampoco mi hamburguesa.;0
Pero luego volvieron fríos.;0
Entonces salió nuestra comida, sobrevino la decepción.;0
La verdadera decepción fue nuestro camarero.;0
Mi esposo dijo que era muy grosero... ni siquiera se disculpó por la mala comida o cualquier cosa.;0
La única razón para comer aquí sería llenarse antes de una noche de borrachera sólo para obtener algunos carbohidratos en el estómago.;0
Insultos, profundo deuchebaggery, y tuvo que salir a la calle para un descanso de humo mientras servía sólo para solidificarlo.;0
Si alguien pide dos tacos no' usted piensa que puede ser parte del servicio al cliente para preguntar si es combo o ala carrito?;0
Ella estaba bastante decepcionada, aunque hay que echarle parte de la culpa a ella.;0
Después de todas las críticas favorables que no podía esperar para comer aquí...... ¡qué decepción!;0
Del Taco es bastante desagradable y debe evitarse si es posible.;0
NO es difícil hacer una hamburguesa decente.;0
Pero no me gusta.;0
Infierno no voy a volver;0
Hemos recibido un servicio mucho mejor de la pizzería de al lado que los servicios que recibimos de este restaurante.;0
"I no saber lo que el gran problema es acerca de este lugar, pero I no ser volver ""ya'all"".";0
Inmediatamente dije que quería hablar con el gerente, pero no quería hablar con el hombre que estaba haciendo tiros de bola de fuego detrás de la barra.;0
El ambiente no es mucho mejor.;0
Desafortunadamente, solo nos preparó para desaprobación con nuestros entrantes.;0
La comida no era buena.;0
Sus servidores chupan, esperan, corrección, nuestro servidor Heimer aspirado.;0
Lo que sucedió después fue bonito.... de poner.;0
lástima porque sé que es propiedad de la familia, realmente quería que me gusta este lugar.;0
Overpriced para lo que está recibiendo.;0
Vomité en el baño a mitad del almuerzo.;0
Seguí mirando la hora y pronto se había convertido en 35 minutos, pero todavía no hay comida.;0
He estado en muy pocos lugares para comer a los que bajo ninguna circunstancia volvería, y esto encabeza la lista.;0
Comenzamos con el sashimi de atún que era de color pardusco y obviamente no era fresco.;0
La comida estaba por debajo de la media.;0
Seguro que le gana a los nachos en el cine, pero yo esperaría un poco más viniendo de un restaurante.;0
Con todo, Ha Long Bay fue un poco un fracaso.;0
El problema que tengo es que cobran $11.99 por un sándwich que no es más grande que un sub Subway (que ofrece mejor y más cantidad de verduras).;0
Cuando lo desenvolví (vivo a solo 1/2 milla de Brushfire) estaba literalmente helado.;0
Le faltaba sabor, parecía poco cocido y seco.;0
Realmente es impresionante que el lugar no ha cerrado.;0
Me gustaría evitar este lugar si te hospedas en el Mirage.;0
Los frijoles refritos que venían con mi comida estaban secos y crujientes y la comida era insulsa.;0
Gaste su dinero y tiempo en algún otro lugar.;0
Una señora en la mesa al lado de nosotros encontró una oruga verde viva en su ensalada.;0
la presentación de la comida fue horrible.;0
No puedo decirte lo decepcionado que estaba.;0
Creo que la comida debe tener sabor y textura y ambos faltaban.;0
El apetito desapareció al instante.;0
En general, no me impresionó y no volvería.;0
Toda la experiencia fue decepcionante, y creo que iremos a Ninja Sushi la próxima vez.;0
Entonces, como si no hubiera desperdiciado lo suficiente de mi vida allí, vertieron sal en la herida sacando el tiempo que tardé en traer el cheque.;0
;
